timestamp, gpu_0_utilization.gpu [% or MiB], gpu_0_utilization.memory [% or MiB], gpu_0_memory.total [% or MiB], gpu_0_memory.free [% or MiB], gpu_0_memory.used [% or MiB], gpu_1_utilization.gpu [% or MiB], gpu_1_utilization.memory [% or MiB], gpu_1_memory.total [% or MiB], gpu_1_memory.free [% or MiB], gpu_1_memory.used [% or MiB]
2025/03/16 22:24:14.793, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:24:15.834, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:24:16.996, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:24:18.040, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:24:19.087, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:24:20.281, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:24:21.324, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:24:22.516, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:24:23.562, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:24:24.605, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:24:25.786, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:24:26.830, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:24:28.031, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:24:29.077, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:24:30.126, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:24:31.300, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:24:32.343, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
2025/03/16 22:24:33.532, 0, 0, 81920, 81037, 0,0, 0, 81920, 81037, 0
